mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2032.7465353012085,76.9229718396822,20.11908288002014,0.5472416014450794,300,2,2,sqrt,30,balanced,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'class_weight': 'balanced'}",0.9879047560681488,0.9888597782045296,0.9885414431297729,0.9880740215218051,0.9884621849735751,0.9883684367795663,0.00034112064233053044,15,0.9892759369691566,0.9894402284009185,0.9890879637446712,0.9892254489546639,0.9892431665500199,0.9892545489238861,0.000112837321174452
1040.7809324264526,18.097510006010303,9.78823447227478,0.3431796114850754,150,2,1,log2,20,,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20, 'class_weight': None}",0.9935255435867412,0.9940484366009683,0.9937371411430764,0.9937407638686621,0.9936369697438522,0.9937377709886601,0.00017419749584140798,1,0.9941936788782663,0.9940638944900375,0.9941191073251417,0.9941084670700753,0.9941040628687352,0.9941178421264512,4.228692647489246e-05
711.8984473228454,18.303014307402027,6.059957075119018,0.14063075640790607,100,10,4,log2,15,balanced_subsample,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 15, 'class_weight': 'balanced_subsample'}",0.9875140357563558,0.9883844848085999,0.9882375366131952,0.9876866532995214,0.987954208445831,0.9879553837847006,0.00032580467907900956,30,0.9881323861830362,0.9879212267467375,0.987974030397957,0.988102905559977,0.9880022127735597,0.9880265523322536,7.93411192500353e-05
1045.1125572681426,90.60520919905747,10.112313222885131,0.4033573644005186,150,2,4,log2,30,balanced,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 30, 'class_weight': 'balanced'}",0.9877056721002506,0.9886056738902669,0.9884152913540769,0.9881071389961809,0.9883577957250953,0.9882383144131742,0.0003103109506477116,16,0.9888031341578434,0.9886864084949443,0.9886387425059094,0.9888848320504431,0.9888428947702813,0.9887712023958842,9.360209447701593e-05
681.1367277622223,24.65686611741098,6.493077325820923,0.12419713140025652,100,10,4,log2,20,,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20, 'class_weight': None}",0.9934656929784536,0.9940115888570333,0.9936244780262723,0.9936672702086989,0.9935909768299039,0.9936720013800724,0.0001826081279440726,5,0.9938953614632868,0.9937913764472488,0.993767042554207,0.9938000755266351,0.9937921483718597,0.9938092008726475,4.448087466947364e-05
1464.2474145412446,38.55819807126418,13.405065441131592,0.2891284840478522,200,2,2,log2,30,balanced_subsample,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30, 'class_weight': 'balanced_subsample'}",0.9879221592968277,0.9888264586000691,0.9885155745808167,0.9881087060250219,0.9885389827024922,0.9883823762410456,0.0003243983803795093,14,0.9892781748291322,0.9893492411159834,0.9890990621686251,0.9893115911330183,0.9893369505114403,0.9892750039516398,9.127181400256262e-05
1660.2274251937865,55.55505357831795,16.089761781692506,0.44169173131367584,250,2,4,sqrt,30,balanced,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'class_weight': 'balanced'}",0.9877099508797618,0.9885924163720288,0.9884021645193803,0.9880771545834091,0.9883285968505728,0.9882220566410306,0.00030469818229378266,18,0.9887976465772232,0.9886819605993628,0.9886258846590346,0.9888621904828052,0.9887594456881972,0.9887454256013246,8.351703307051981e-05
2205.271218395233,75.23594636128666,19.59127984046936,0.28869656427392326,300,2,4,sqrt,30,balanced_subsample,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'class_weight': 'balanced_subsample'}",0.9877020949572788,0.9886319276423737,0.9884316475472184,0.9880598853388383,0.9883501560093733,0.9882351422990163,0.00032377014855251076,17,0.9887311928161795,0.988694626294828,0.9886877443050079,0.9888283509547678,0.9888085272563021,0.988750088325417,5.806892763443823e-05
1072.4232469558715,21.33106847346498,9.220821189880372,0.5127728180331845,150,10,4,log2,15,balanced_subsample,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 15, 'class_weight': 'balanced_subsample'}",0.9875140357563558,0.9883844848085999,0.9882506634854775,0.9876780919960341,0.9879630495483537,0.9879580651189641,0.00032955103542646523,28,0.9881205361356402,0.9879169101008167,0.9879677095392003,0.9880964796458493,0.9879935100536567,0.9880190290950328,7.747964168472216e-05
989.7450198173523,49.30266578420037,8.924903726577758,0.20350425100947395,150,2,4,log2,15,balanced,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 15, 'class_weight': 'balanced'}",0.9875100430539666,0.9883933247655365,0.9882374021760822,0.9876953553113239,0.9879758987874108,0.9879624048188639,0.0003278549191099353,26,0.9881184278833832,0.9879413232961106,0.9879717860503965,0.9880953746734054,0.9879999000405504,0.9880253623887694,6.948989939962297e-05
665.8927357196808,15.814086841965581,7.344317865371704,0.2054625170691348,100,2,1,log2,,balanced,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'class_weight': 'balanced'}",0.988680943191449,0.9895624852634237,0.989253664888198,0.9889642783515658,0.9892074381615963,0.9891337619712466,0.0002957627753624994,12,0.9930956249143479,0.9929590804323039,0.9929741440409949,0.9930446409182072,0.9929471462922292,0.9930041273196167,5.6900295338358635e-05
1728.8030931472779,27.58144547069902,17.962379121780394,0.3608505998780111,250,2,1,log2,,,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'class_weight': None}",0.9921527525042148,0.9930239314757963,0.9925757423188037,0.9925273643856709,0.9923530205176361,0.9925265622404243,0.000289705342813781,9,0.9965259669114387,0.9964050220056702,0.9964617358432482,0.9964583135019268,0.9964827376263503,0.9964667551777268,3.916352439264355e-05
675.4253048419953,12.461571336285504,6.141652584075928,0.2467944129388108,100,2,2,sqrt,15,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15, 'class_weight': None}",0.9932806692850773,0.9937869178005899,0.9935474619787572,0.9934920379047827,0.9934024090907868,0.9935018992119989,0.00016867114259507126,7,0.9936497573430929,0.9934964659947043,0.9936324584591527,0.9935658658110671,0.9935813781181083,0.9935851851452251,5.4153767632704155e-05
1092.3463541984559,20.632749922299748,9.820858430862426,0.1988627312453757,150,10,1,sqrt,20,balanced_subsample,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': 'balanced_subsample'}",0.9876236361227909,0.988467200208786,0.988403178715811,0.9879148327676057,0.9881685001717981,0.9881154695973583,0.0003135150732707138,20,0.9885545017794664,0.9883958095220793,0.9884046067330735,0.9884999766427573,0.9884419856418287,0.9884593760638409,6.006683008717298e-05
1028.6030698299408,35.03342433479151,10.294100904464722,0.2581092057834372,150,5,1,log2,30,,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30, 'class_weight': None}",0.9931044561399571,0.9937612446928635,0.9933156097984943,0.9933736027734124,0.9931721431688167,0.9933454113147088,0.00022920799886590925,8,0.9949029608588865,0.9947482680277557,0.9948495529885827,0.9948380770233296,0.9948618115247163,0.9948401340846542,5.089093166894254e-05
1611.759164905548,42.40950047576839,15.224375009536743,0.5158611006726923,250,10,4,sqrt,15,balanced,"{'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 15, 'class_weight': 'balanced'}",0.9875185983810745,0.9883887720864876,0.9882331161269762,0.9876822319627021,0.9879673325793742,0.9879580102273229,0.0003257183947656353,29,0.9881173907355254,0.9879255778898404,0.9879589726632608,0.9880965476339285,0.987994580754478,0.9880186139354066,7.565830887659319e-05
2011.2322208404541,115.81384615080985,19.76444540023804,0.7672109257311832,300,2,4,log2,25,balanced,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 25, 'class_weight': 'balanced'}",0.9876350561133374,0.9885216124924019,0.9884259827021123,0.9879724214206081,0.988235948664545,0.9881582042786009,0.000321873974295749,19,0.9885895216129283,0.98848032451054,0.9884477001109663,0.9885993917674489,0.9885438171020972,0.9885321510207963,5.960997171844013e-05
669.3181272983551,10.995382275825515,6.925206899642944,0.2512236176177404,100,10,2,sqrt,20,balanced,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': 'balanced'}",0.9876066714285604,0.988475377583593,0.9884120141249417,0.9879141432834945,0.9881031850336743,0.9881022782908527,0.00032129772308238337,22,0.9884596459246442,0.9883374368414612,0.9883132454033046,0.9884098532937937,0.9883246903187187,0.9883689743563846,5.648686195086914e-05
750.1226098060608,30.741100410566844,6.536694002151489,0.0947250347491772,100,2,1,log2,20,balanced_subsample,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20, 'class_weight': 'balanced_subsample'}",0.9875840161661651,0.9884881053797485,0.9884027813321741,0.9878963329677943,0.9881936557239448,0.9881129783139654,0.00033405122635607524,21,0.9886808784269612,0.9885321811111734,0.9884707473635319,0.988621275072971,0.9885542812936784,0.9885718726536632,7.271046202745857e-05
1028.5788990974427,30.262344929890464,9.911192083358765,0.18185049101263973,150,10,1,log2,20,,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20, 'class_weight': None}",0.9935206820991553,0.9940085285673729,0.993732736419894,0.9937312195911197,0.9936195096776457,0.9937225352710375,0.00016329765601176386,2,0.99405206227713,0.9939761981780479,0.9940323483011451,0.9939812950287701,0.994009639437835,0.9940103086445857,2.910283133888676e-05
1617.967804336548,36.65034485691656,15.122964429855347,0.30270005578159503,250,2,4,log2,15,balanced,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 15, 'class_weight': 'balanced'}",0.9875097580221543,0.988380064753969,0.9882418226633233,0.9877040573231264,0.987971478258393,0.9879614362041931,0.00032379757273721905,27,0.9881216411614162,0.9879278913243238,0.9879761030675456,0.9881051834355243,0.9879987607875174,0.9880259159552656,7.519867513309821e-05
1990.3801787376403,116.58579639818493,18.047677421569823,0.17525700971132352,300,2,1,log2,15,balanced,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 15, 'class_weight': 'balanced'}",0.9875824861061578,0.988419975777318,0.9882675399875239,0.9877211809110196,0.9880402881877084,0.9880062941939455,0.00031668289757136515,25,0.9882248555841515,0.9880362127604849,0.9880500079560017,0.9881617580684112,0.9880979426924941,0.9881141554123086,7.067297407327567e-05
1336.0026278972625,33.50970366828991,14.128842735290528,0.11998971937602945,200,5,1,sqrt,,balanced,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': 'balanced'}",0.988707131598698,0.9897335798632534,0.9895354358610857,0.9892546120210344,0.9893372194421435,0.9893135957572431,0.0003456690950025273,11,0.9924228972081173,0.9922994936354689,0.9923200620230634,0.9923675812567798,0.9922714693183915,0.9923363006883642,5.347708129633661e-05
2060.9314289093018,54.139900138429645,20.197303009033202,0.5696081019504269,300,2,2,log2,20,,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20, 'class_weight': None}",0.9935112637780061,0.9940254351595805,0.9937277389379274,0.9937306274984254,0.9936097994064792,0.9937209729560837,0.0001727273687392438,3,0.9940273977754193,0.9938954155290103,0.9939460413977457,0.9939264811351378,0.9939479584774995,0.9939486588629626,4.366660559430923e-05
2051.0658153533936,52.618266115277414,18.973195457458495,0.2929832175020171,300,5,4,sqrt,20,,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': None}",0.9934164021984166,0.9939667701115908,0.9936649505433517,0.9936847354797673,0.9935510418023108,0.9936567800270873,0.00018215608134585648,6,0.9938673274305374,0.9937823474204408,0.9937939451556029,0.9937998924407923,0.9938336402646883,0.9938154305424124,3.105616972559379e-05
2189.315571308136,18.93000473568528,19.601416873931885,0.9728164227865967,300,5,4,log2,20,balanced_subsample,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20, 'class_weight': 'balanced_subsample'}",0.9876045513180007,0.988483292520272,0.9883715890499412,0.9878995083756237,0.9881066524499871,0.9880931187427648,0.0003181658538150899,23,0.9884184804312852,0.9882593496733145,0.9882298387635047,0.9883487296665325,0.9882789243691483,0.9883070645807571,6.809094194314408e-05
655.6371038436889,15.201881751324239,6.783647680282593,0.24430824105046967,100,2,4,sqrt,,balanced,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': 'balanced'}",0.9883102919729858,0.9893751218867624,0.9892743329789494,0.9890023815353406,0.9890538257616861,0.9890031908271448,0.0003726993837498346,13,0.9901082097166009,0.9903578590176514,0.9902977147266032,0.9904303228219884,0.9902702891626827,0.9902928790891053,0.0001074705877248956
993.4391690731048,12.09957995483759,10.557074499130248,0.5157770887335411,150,2,1,log2,30,balanced,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30, 'class_weight': 'balanced'}",0.987579034470353,0.9886211117559622,0.9881594822603725,0.9877796734913475,0.9881016933262503,0.9880481990608571,0.0003565658249468926,24,0.9903609815581176,0.990452347485546,0.9902156742499775,0.9905137386561315,0.9903695060078133,0.990382449591517,0.00010056337448573361
1019.5892094612121,48.15282092295916,9.515593957901,0.21133896525514168,150,2,2,sqrt,20,,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': None}",0.9935334320756073,0.9940210316831015,0.9937276648262269,0.9937082414564138,0.9935874821966054,0.993715570447591,0.00016916710146792533,4,0.9940172758603782,0.9938988089485555,0.9939325422665524,0.993905217739794,0.9939479406126077,0.9939403570855776,4.2417214683543767e-05
1749.2164006710052,155.85206894610292,8.719099855422973,0.3478818382271778,300,10,1,log2,,balanced_subsample,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'class_weight': 'balanced_subsample'}",0.9888852363054932,0.9897273796318754,0.9896519681183638,0.9893493566014149,0.989424673104993,0.9894077227524279,0.00029614939764445735,10,0.9916471601476363,0.9915118584496871,0.991492305188094,0.9915808339482173,0.9914621797839938,0.9915388675035256,6.673383517099906e-05
